service_date,station_name,gated_entries
2018-01-03,Hynes Convention Center,5486.0
2018-01-03,JFK/UMass,5878.0
2018-01-03,Jackson Square,4970.0
2018-01-03,Kendall/MIT,14777.0
2018-01-03,Kenmore,5562.0
2018-01-03,Lechmere,4911.0
2018-01-03,Malden Center,10176.0
2018-01-03,Massachusetts Avenue,4973.0
2018-01-03,Maverick,10098.0
2018-01-03,North Quincy,6015.0
2018-01-03,North Station,17185.0
2018-01-03,Oak Grove,6233.0
2018-01-03,Orient Heights,3664.0
2018-01-03,Park Street,14650.0
2018-01-03,Porter,7364.0
2018-01-03,Prudential,3383.0
2018-01-03,Quincy Adams,4490.0
2018-01-03,Quincy Center,7558.0
2018-01-03,Revere Beach,2698.0
2018-01-03,Riverside,1271.0
2018-01-03,Roxbury Crossing,3846.0
2018-01-03,Ruggles,7462.0
2018-01-03,Savin Hill,2061.0
2018-01-03,Science Park,728.0
2018-01-03,Shawmut,2116.0
2018-01-03,South Station,25645.0
2018-01-03,State Street,13890.0
2018-01-03,Stony Brook,3158.0
2018-01-03,Suffolk Downs,343.0
2018-01-03,Sullivan Square,7955.0
2018-01-03,Symphony,1370.0
2018-01-03,Tufts Medical Center,6160.0
2018-01-03,Wellington,6594.0
2018-01-03,Wollaston,3188.0
2018-01-03,Wonderland,4215.0
2018-01-03,Wood Island,1848.0
2018-01-03,World Trade Center,865.0
2018-01-04,Airport,1941.0
2018-01-04,Alewife,1510.0
2018-01-04,Andrew,1802.0
2018-01-04,Aquarium,411.0
2018-01-04,Arlington,1247.0
2018-01-04,Ashmont,1998.0
2018-01-04,Assembly,409.0
2018-01-04,Back Bay,3044.0
2018-01-04,Beachmont,840.0
2018-01-04,Bowdoin,662.0
2018-01-04,Boylston,962.0
2018-01-04,Braintree,939.0
2018-01-04,Broadway,1514.0
2018-01-04,Central,2534.0
2018-01-04,Charles/MGH,4658.0
2018-01-04,Chinatown,1533.0
2018-01-04,Community College,477.0
2018-01-04,Copley,2114.0
2018-01-04,Courthouse,441.0
2018-01-04,Davis,1851.0
2018-01-04,Downtown Crossing,4291.0
2018-01-04,Fields Corner,1073.0
2018-01-04,Forest Hills,2829.0
2018-01-04,Government Center,1074.0
2018-01-04,Green Street,525.0
2018-01-04,Harvard,2804.0
2018-01-04,Haymarket,2476.0
2018-01-04,Hynes Convention Center,1087.0
2018-01-04,JFK/UMass,967.0
2018-01-04,Jackson Square,1264.0
2018-01-04,Kendall/MIT,1868.0
2018-01-04,Kenmore,1273.0
2018-01-04,Lechmere,601.0
2018-01-04,Malden Center,2304.0
2018-01-04,Massachusetts Avenue,1380.0
2018-01-04,Maverick,3162.0
2018-01-04,North Quincy,1214.0
2018-01-04,North Station,2918.0
2018-01-04,Oak Grove,1111.0
2018-01-04,Orient Heights,752.0
2018-01-04,Park Street,2154.0
2018-01-04,Porter,1284.0
2018-01-04,Prudential,1115.0
2018-01-04,Quincy Adams,646.0
2018-01-04,Quincy Center,1415.0
2018-01-04,Revere Beach,879.0
2018-01-04,Riverside,107.0
2018-01-04,Roxbury Crossing,708.0
2018-01-04,Ruggles,2118.0
2018-01-04,Savin Hill,452.0
2018-01-04,Science Park,179.0
2018-01-04,Shawmut,517.0
2018-01-04,South Station,4673.0
2018-01-04,State Street,2829.0
2018-01-04,Stony Brook,584.0
2018-01-04,Suffolk Downs,45.0
2018-01-04,Sullivan Square,1974.0
2018-01-04,Symphony,291.0
2018-01-04,Tufts Medical Center,1788.0
2018-01-04,Wellington,1330.0
2018-01-04,Wollaston,664.0
2018-01-04,Wonderland,1466.0
2018-01-04,Wood Island,402.0
2018-01-04,World Trade Center,204.0
2018-01-05,Airport,4997.0
2018-01-05,Alewife,7486.0
2018-01-05,Andrew,4113.0
2018-01-05,Aquarium,1562.0
2018-01-05,Arlington,4921.0
2018-01-05,Ashmont,5298.0
2018-01-05,Assembly,1679.0
2018-01-05,Back Bay,10905.0
2018-01-05,Beachmont,1921.0
2018-01-05,Bowdoin,1527.0
2018-01-05,Boylston,3708.0
2018-01-05,Braintree,2839.0
2018-01-05,Broadway,4452.0
2018-01-05,Central,10864.0
2018-01-05,Charles/MGH,8108.0
2018-01-05,Chinatown,4362.0
2018-01-05,Community College,1359.0
2018-01-05,Copley,8723.0
2018-01-05,Courthouse,1400.0
2018-01-05,Davis,8107.0
2018-01-05,Downtown Crossing,17553.0
2018-01-05,Fields Corner,3001.0
2018-01-05,Forest Hills,8342.0
2018-01-05,Government Center,4940.0
2018-01-05,Green Street,1864.0
2018-01-05,Harvard,12739.0
2018-01-05,Haymarket,8122.0
2018-01-05,Hynes Convention Center,4370.0
2018-01-05,JFK/UMass,3215.0
2018-01-05,Jackson Square,3421.0
2018-01-05,Kendall/MIT,9326.0
2018-01-05,Kenmore,4265.0
2018-01-05,Lechmere,3774.0
2018-01-05,Malden Center,6801.0
2018-01-05,Massachusetts Avenue,3510.0
2018-01-05,Maverick,7415.0
2018-01-05,North Quincy,3686.0
2018-01-05,North Station,12689.0
2018-01-05,Oak Grove,4180.0
2018-01-05,Orient Heights,1340.0
2018-01-05,Park Street,9945.0
2018-01-05,Porter,5860.0
2018-01-05,Prudential,3194.0
2018-01-05,Quincy Adams,2427.0
2018-01-05,Quincy Center,4870.0
2018-01-05,Revere Beach,2002.0
2018-01-05,Riverside,891.0
2018-01-05,Roxbury Crossing,1934.0
2018-01-05,Ruggles,4667.0
2018-01-05,Savin Hill,1444.0
2018-01-05,Science Park,74.0
2018-01-05,Shawmut,1322.0
2018-01-05,South Station,16886.0
2018-01-05,State Street,9610.0
2018-01-05,Stony Brook,2198.0
2018-01-05,Suffolk Downs,242.0
2018-01-05,Sullivan Square,6041.0
2018-01-05,Symphony,1329.0
2018-01-05,Tufts Medical Center,4520.0
2018-01-05,Wellington,4521.0
2018-01-05,Wollaston,2129.0
2018-01-05,Wonderland,3966.0
2018-01-05,Wood Island,980.0
2018-01-05,World Trade Center,617.0
2018-01-06,Airport,3924.0
2018-01-06,Alewife,2875.0
2018-01-06,Andrew,2148.0
2018-01-06,Aquarium,1925.0
2018-01-06,Arlington,2565.0
2018-01-06,Ashmont,2882.0
2018-01-06,Assembly,1093.0
2018-01-06,Back Bay,5310.0
2018-01-06,Beachmont,1026.0
2018-01-06,Bowdoin,396.0
2018-01-06,Boylston,2813.0
2018-01-06,Braintree,1184.0
2018-01-06,Broadway,1850.0
2018-01-06,Central,5531.0
2018-01-06,Charles/MGH,2240.0
2018-01-06,Chinatown,2959.0
2018-01-06,Community College,723.0
2018-01-06,Copley,6502.0
2018-01-06,Courthouse,555.0
2018-01-06,Davis,3946.0
2018-01-06,Downtown Crossing,7795.0
2018-01-06,Fields Corner,1856.0
2018-01-06,Forest Hills,4159.0
2018-01-06,Government Center,1643.0
2018-01-06,Green Street,796.0
2018-01-06,Harvard,6892.0
2018-01-06,Haymarket,5236.0
2018-01-06,Hynes Convention Center,3559.0
2018-01-06,JFK/UMass,1568.0
2018-01-06,Jackson Square,1880.0
2018-01-06,Kendall/MIT,2336.0
2018-01-06,Kenmore,3008.0
2018-01-06,Lechmere,2232.0
2018-01-06,Malden Center,3620.0
2018-01-06,Massachusetts Avenue,1942.0
2018-01-06,Maverick,4601.0
2018-01-06,North Quincy,1379.0
2018-01-06,North Station,5336.0
2018-01-06,Oak Grove,1603.0
2018-01-06,Orient Heights,840.0
2018-01-06,Park Street,4877.0
2018-01-06,Porter,2658.0
2018-01-06,Prudential,1931.0
2018-01-06,Quincy Adams,602.0
2018-01-06,Quincy Center,2121.0
2018-01-06,Revere Beach,1385.0
2018-01-06,Riverside,372.0
2018-01-06,Roxbury Crossing,1042.0
2018-01-06,Ruggles,2376.0
2018-01-06,Savin Hill,742.0
2018-01-06,Shawmut,748.0
2018-01-06,South Station,4950.0
2018-01-06,State Street,3030.0
2018-01-06,Stony Brook,1044.0
2018-01-06,Suffolk Downs,155.0
2018-01-06,Sullivan Square,3124.0
2018-01-06,Symphony,974.0
2018-01-06,Tufts Medical Center,1812.0
2018-01-06,Wellington,1908.0
2018-01-06,Wollaston,1024.0
2018-01-06,Wonderland,2112.0
2018-01-06,Wood Island,396.0
2018-01-06,World Trade Center,184.0
